Generation,Round,Node,Algorithm,added_s_overhead,added_g_overhead,added_h_overhead
1,3,2,Greedy,8,56,83
1,3,2,Heuristic,8,56,83
1,3,4,Greedy,8,56,83
1,3,4,Heuristic,8,56,83
1,4,0,Greedy,24,88,124
1,4,0,Heuristic,24,88,124
1,4,1,Greedy,16,64,100
1,4,1,Heuristic,16,64,100
1,4,3,Greedy,0,88,124
1,4,3,Heuristic,0,88,124
1,6,3,Simple,32,168,124
1,7,0,Simple,64,208,124
1,10,1,Simple,136,304,100
1,11,4,Simple,104,376,132
1,12,2,Simple,104,416,132
2,3,0,Greedy,8,64,91
2,3,0,Heuristic,8,64,91
2,3,2,Greedy,8,48,75
2,3,2,Heuristic,8,48,75
2,3,3,Greedy,24,64,91
2,3,3,Heuristic,24,64,91
2,4,0,Simple,24,104,140
2,4,4,Simple,48,96,132
2,4,4,Greedy,48,96,132
2,4,4,Heuristic,48,96,132
2,5,2,Simple,16,128,124
2,6,3,Simple,72,184,238
2,7,1,Simple,56,144,108
2,7,1,Greedy,56,144,108
2,7,1,Heuristic,56,144,108
3,2,0,Greedy,16,40,58
3,2,0,Heuristic,16,40,58
3,2,1,Greedy,24,32,50
3,2,1,Heuristic,24,32,50
3,2,2,Greedy,16,40,58
3,2,2,Heuristic,16,40,58
3,2,4,Greedy,24,40,58
3,2,4,Heuristic,24,40,58
3,3,0,Simple,32,80,107
3,4,1,Simple,56,112,148
3,5,2,Simple,64,160,205
3,6,4,Simple,72,200,254
3,7,3,Greedy,88,200,58
3,7,3,Heuristic,88,200,58
3,8,3,Simple,120,240,58
4,3,0,Greedy,8,56,83
4,3,0,Heuristic,8,56,83
4,3,1,Greedy,24,48,75
4,3,1,Heuristic,24,48,75
4,3,3,Greedy,8,56,83
4,3,3,Heuristic,8,56,83
4,4,2,Greedy,24,88,124
4,4,2,Heuristic,24,88,124
4,4,4,Greedy,40,88,124
4,4,4,Heuristic,40,88,124
4,5,2,Simple,24,128,124
4,6,0,Simple,64,176,132
4,7,3,Simple,56,216,132
4,7,4,Simple,72,208,124
4,13,1,Simple,176,448,124
5,2,4,Greedy,24,32,50
5,2,4,Heuristic,24,32,50
5,3,0,Greedy,24,64,91
5,3,0,Heuristic,24,64,91
5,3,2,Simple,24,56,83
5,3,2,Greedy,24,56,83
5,3,2,Heuristic,24,56,83
5,4,3,Simple,40,96,132
5,4,3,Greedy,40,96,132
5,4,3,Heuristic,40,96,132
5,5,1,Greedy,32,128,132
5,5,1,Heuristic,32,128,132
5,7,0,Simple,64,224,189
5,7,4,Simple,120,232,197
5,9,1,Simple,104,288,132
6,2,0,Greedy,16,40,58
6,2,0,Heuristic,16,40,58
6,2,3,Greedy,0,40,58
6,2,3,Heuristic,0,40,58
6,2,4,Greedy,16,40,58
6,2,4,Heuristic,16,40,58
6,3,1,Greedy,24,72,58
6,3,1,Heuristic,24,72,58
6,5,0,Simple,48,160,205
6,5,2,Simple,56,104,50
6,5,2,Greedy,56,104,50
6,5,2,Heuristic,56,104,50
6,8,1,Simple,48,272,58
6,8,3,Simple,96,280,205
6,10,4,Simple,128,360,205
7,3,0,Greedy,24,56,83
7,3,0,Heuristic,24,56,83
7,3,2,Greedy,32,48,75
7,3,2,Heuristic,32,48,75
7,3,4,Greedy,24,64,91
7,3,4,Heuristic,24,64,91
7,4,1,Simple,16,80,116
7,4,1,Greedy,16,80,116
7,4,1,Heuristic,16,80,116
7,5,3,Greedy,56,128,132
7,5,3,Heuristic,56,128,132
7,8,0,Simple,96,256,181
7,8,3,Simple,88,248,132
