Generation,Round,Node,simple_AoD,greedy_AoD,heuristic_AoD,simple_rank,greedy_rank,heuristic_rank
1.0,25.0,50.0,48.12,52.92,52.92,29.54,43.84,43.84
2.0,25.0,50.0,47.16,58.56,58.56,31.34,43.8,43.8
3.0,25.0,50.0,48.44,53.16,53.4,31.72,44.56,44.46
4.0,25.0,50.0,48.8,57.76,57.76,30.96,43.66,43.66
5.0,25.0,50.0,46.68,51.88,51.92,31.14,43.14,43.12
6.0,25.0,50.0,50.76,53.24,53.24,30.36,43.98,43.98
7.0,25.0,50.0,51.6,62.04,62.04,30.64,42.98,42.98
8.0,25.0,50.0,52.6,54.36,54.36,32.56,43.66,43.66
9.0,25.0,50.0,48.12,49.0,49.0,29.2,43.7,43.68
10.0,25.0,50.0,48.92,59.08,59.08,30.44,43.88,43.86
11.0,25.0,50.0,46.56,50.36,50.36,29.26,43.86,43.86
12.0,25.0,50.0,42.2,58.92,58.92,26.68,42.62,42.62
13.0,25.0,50.0,43.0,52.52,52.52,29.18,43.1,43.1
14.0,25.0,50.0,50.28,51.88,51.88,29.4,43.0,43.0
15.0,25.0,50.0,50.08,61.8,61.8,31.76,43.56,43.56
16.0,25.0,50.0,49.96,65.6,65.6,29.64,45.02,45.02
17.0,25.0,50.0,51.48,60.0,60.0,31.08,44.74,44.68
18.0,25.0,50.0,47.8,59.04,59.04,31.68,44.52,44.52
19.0,25.0,50.0,50.12,57.68,57.68,31.32,43.12,43.12
20.0,25.0,50.0,48.28,52.8,52.8,30.66,43.26,43.26
21.0,25.0,50.0,48.48,59.32,59.32,29.14,43.42,43.42
22.0,25.0,50.0,43.52,55.84,55.84,28.94,43.44,43.44
23.0,25.0,50.0,47.52,57.76,57.76,29.1,42.78,42.78
24.0,25.0,50.0,49.72,57.16,57.16,30.1,43.24,43.24
25.0,25.0,50.0,49.44,60.48,60.48,30.72,43.62,43.6
26.0,25.0,50.0,52.04,55.28,55.28,31.8,43.24,43.24
27.0,25.0,50.0,50.08,54.36,54.36,29.52,43.54,43.54
28.0,25.0,50.0,54.56,58.44,58.44,31.56,43.68,43.68
29.0,25.0,50.0,48.72,52.44,52.44,30.06,44.24,44.22
30.0,25.0,50.0,51.64,62.52,62.52,30.22,43.9,43.9
31.0,25.0,50.0,44.84,54.04,54.04,30.52,43.32,43.32
32.0,25.0,50.0,46.68,63.76,63.76,28.54,44.48,44.48
33.0,25.0,50.0,49.04,53.16,53.16,30.62,43.94,43.94
34.0,25.0,50.0,47.52,60.04,60.04,28.92,43.52,43.52
35.0,25.0,50.0,45.6,59.84,59.84,31.76,44.72,44.72
36.0,25.0,50.0,46.6,55.48,55.48,32.22,43.42,43.42
37.0,25.0,50.0,50.88,50.12,50.12,30.24,43.72,43.72
38.0,25.0,50.0,45.08,53.52,53.52,29.78,43.1,43.1
39.0,25.0,50.0,45.64,58.76,58.76,29.98,43.94,43.94
40.0,25.0,50.0,47.08,56.36,56.36,30.92,43.74,43.74
41.0,25.0,50.0,44.36,54.72,54.72,31.82,43.52,43.52
42.0,25.0,50.0,49.28,55.64,55.64,32.02,43.92,43.92
43.0,25.0,50.0,46.16,63.04,63.04,30.4,44.54,44.54
44.0,25.0,50.0,48.04,61.12,61.16,29.62,44.82,44.78
45.0,25.0,50.0,51.32,59.44,59.48,31.14,44.02,44.0
46.0,25.0,50.0,46.56,52.6,52.6,30.04,43.52,43.52
47.0,25.0,50.0,49.4,58.52,58.52,31.0,43.72,43.7
48.0,25.0,50.0,45.6,61.84,61.84,31.4,43.76,43.76
49.0,25.0,50.0,47.24,59.44,59.44,29.04,44.0,44.0
50.0,25.0,50.0,47.24,50.16,50.16,30.82,43.86,43.86
51.0,25.0,50.0,47.48,59.92,60.48,30.8,43.7,43.64
52.0,25.0,50.0,49.44,53.72,53.72,30.8,44.38,44.38
53.0,25.0,50.0,43.16,55.24,55.24,32.36,42.8,42.8
54.0,25.0,50.0,49.36,60.36,60.36,30.4,43.52,43.52
55.0,25.0,50.0,47.6,49.28,49.28,30.08,43.36,43.36
56.0,25.0,50.0,46.88,55.48,55.48,33.14,43.58,43.58
57.0,25.0,50.0,45.8,57.44,57.44,31.16,44.6,44.6
58.0,25.0,50.0,50.24,60.72,60.72,31.26,44.22,44.22
59.0,25.0,50.0,48.68,58.4,58.4,31.22,42.58,42.58
60.0,25.0,50.0,46.6,56.64,56.64,30.32,43.86,43.86
61.0,25.0,50.0,45.2,56.96,58.44,31.14,44.0,43.96
62.0,25.0,50.0,44.16,52.76,52.76,27.78,43.3,43.3
63.0,25.0,50.0,51.36,58.44,58.44,30.6,43.88,43.88
64.0,25.0,50.0,47.36,59.76,60.0,29.22,42.74,42.7
65.0,25.0,50.0,49.16,60.76,60.76,31.76,43.26,43.26
66.0,25.0,50.0,48.8,61.2,61.2,32.64,45.02,45.02
67.0,25.0,50.0,48.92,50.64,50.72,32.38,43.18,43.14
68.0,25.0,50.0,44.48,55.48,55.48,28.02,41.88,41.88
69.0,25.0,50.0,49.16,53.96,53.96,29.7,42.88,42.88
70.0,25.0,50.0,49.8,60.12,60.12,30.38,42.88,42.88
71.0,25.0,50.0,44.68,57.12,57.12,28.7,43.92,43.92
72.0,25.0,50.0,46.96,62.32,62.32,27.36,41.24,41.24
73.0,25.0,50.0,49.28,48.24,48.24,30.2,43.68,43.68
74.0,25.0,50.0,43.08,60.76,60.76,30.92,44.2,44.18
75.0,25.0,50.0,51.88,57.16,57.32,33.76,43.78,43.72
76.0,25.0,50.0,50.4,62.12,63.84,31.26,45.16,45.14
77.0,25.0,50.0,42.0,57.32,57.32,33.26,44.02,44.02
78.0,25.0,50.0,40.48,52.0,52.0,31.46,42.82,42.82
79.0,25.0,50.0,45.4,50.88,50.88,28.02,43.2,43.2
80.0,25.0,50.0,46.32,55.32,55.32,29.8,44.0,44.0
81.0,25.0,50.0,45.96,54.8,54.8,29.34,44.26,44.22
82.0,25.0,50.0,45.52,56.36,56.36,28.9,44.82,44.82
83.0,25.0,50.0,50.24,51.4,51.4,31.36,43.08,43.08
84.0,25.0,50.0,46.08,55.56,55.56,28.7,43.02,43.02
85.0,25.0,50.0,44.96,61.76,61.76,30.58,44.64,44.64
86.0,25.0,50.0,43.96,55.04,55.04,30.76,43.98,43.94
87.0,25.0,50.0,46.72,55.4,55.4,30.94,43.26,43.26
88.0,25.0,50.0,47.8,59.24,59.24,30.3,44.0,44.0
89.0,25.0,50.0,48.4,59.16,59.16,32.06,43.1,43.1
90.0,25.0,50.0,45.6,62.04,62.04,29.42,44.12,44.12
91.0,25.0,50.0,49.68,58.24,58.24,31.72,44.44,44.42
92.0,25.0,50.0,46.56,49.24,49.24,31.04,43.4,43.4
93.0,25.0,50.0,49.32,58.2,58.2,31.98,44.24,44.24
94.0,25.0,50.0,49.84,58.92,58.92,30.74,44.06,44.06
95.0,25.0,50.0,48.0,59.68,59.68,30.9,43.9,43.9
96.0,25.0,50.0,49.52,57.2,57.2,29.26,43.0,42.98
97.0,25.0,50.0,52.32,64.68,64.68,33.9,44.96,44.94
98.0,25.0,50.0,45.68,59.6,59.6,30.58,43.5,43.5
99.0,25.0,50.0,49.84,58.48,58.48,33.3,43.74,43.7
100.0,25.0,50.0,50.68,61.52,61.52,32.06,44.4,44.4
