Generation,Round,Node,simple_AoD,greedy_AoD,heuristic_AoD,simple_rank,greedy_rank,heuristic_rank
73.0,25.0,50.0,69.88,74.28,74.28,43.8,47.7,47.66
74.0,25.0,50.0,64.96,70.64,70.64,44.2,47.7,47.64
75.0,25.0,50.0,66.52,72.36,72.36,44.22,47.72,47.72
76.0,25.0,50.0,69.08,72.32,72.32,44.46,47.42,47.42
77.0,25.0,50.0,64.32,70.56,70.56,44.3,47.4,47.4
78.0,25.0,50.0,72.96,73.12,71.32,44.32,47.22,47.24
79.0,25.0,50.0,68.68,72.36,72.4,43.82,47.1,47.06
80.0,25.0,50.0,69.68,72.72,72.72,43.92,47.02,47.0
81.0,25.0,50.0,66.64,72.2,72.16,43.76,47.48,47.46
82.0,25.0,50.0,63.08,73.2,73.2,43.82,47.34,47.26
83.0,25.0,50.0,67.36,69.32,69.32,44.18,47.6,47.56
84.0,25.0,50.0,63.28,74.2,74.2,43.66,47.72,47.72
85.0,25.0,50.0,65.28,68.76,68.76,42.2,47.34,47.34
86.0,25.0,50.0,68.84,77.8,77.8,43.22,47.34,47.3
87.0,25.0,50.0,64.32,73.52,73.52,43.44,47.76,47.72
88.0,25.0,50.0,68.16,67.72,69.6,42.82,47.0,46.98
89.0,25.0,50.0,68.12,76.28,76.28,43.84,47.52,47.44
90.0,25.0,50.0,65.4,66.72,68.52,45.08,47.66,47.62
91.0,25.0,50.0,66.08,73.16,73.16,44.36,47.52,47.52
92.0,25.0,50.0,70.64,73.12,75.04,42.14,47.72,47.64
93.0,25.0,50.0,69.32,68.88,68.88,44.48,47.1,47.06
94.0,25.0,50.0,70.12,76.44,78.16,43.58,47.76,47.68
95.0,25.0,50.0,66.76,73.32,73.32,43.12,47.72,47.7
96.0,25.0,50.0,68.4,71.04,71.04,43.96,47.28,47.26
97.0,25.0,50.0,65.16,70.44,72.24,44.14,47.38,47.34
98.0,25.0,50.0,59.96,67.36,68.84,42.2,47.42,47.4
99.0,25.0,50.0,65.48,74.0,74.0,44.12,47.44,47.42
100.0,25.0,50.0,67.08,69.96,69.92,43.72,47.7,47.72
