Generation,Round,Node,simple_AoD,greedy_AoD,heuristic_AoD,simple_rank,greedy_rank,heuristic_rank
1.0,25.0,50.0,68.2,71.84,71.84,45.54,47.36,47.34
2.0,25.0,50.0,68.36,72.04,72.04,43.98,47.22,47.18
3.0,25.0,50.0,65.68,74.28,74.28,42.48,47.8,47.8
4.0,25.0,50.0,67.72,67.16,67.16,42.58,46.9,46.88
5.0,25.0,50.0,67.48,69.64,69.64,43.7,47.04,47.04
6.0,25.0,50.0,69.68,71.72,71.72,44.56,47.3,47.26
7.0,25.0,50.0,67.84,71.44,71.44,43.48,47.66,47.64
8.0,25.0,50.0,65.72,79.16,79.16,43.32,47.56,47.5
9.0,25.0,50.0,66.88,75.56,75.56,44.4,47.98,47.98
10.0,25.0,50.0,62.88,71.04,71.04,44.48,47.36,47.36
11.0,25.0,50.0,65.28,64.28,64.28,44.68,47.04,47.04
12.0,25.0,50.0,66.96,74.32,74.36,44.7,47.96,47.94
13.0,25.0,50.0,68.52,82.72,82.76,45.28,48.14,48.14
14.0,25.0,50.0,61.16,70.6,70.56,43.84,47.44,47.46
15.0,25.0,50.0,69.32,70.32,70.32,44.58,47.56,47.56
16.0,25.0,50.0,64.4,71.72,71.72,42.64,46.78,46.76
17.0,25.0,50.0,62.16,63.28,63.28,43.72,46.94,46.9
18.0,25.0,50.0,67.4,77.24,77.24,44.06,47.94,47.9
19.0,25.0,50.0,68.96,71.48,71.52,44.46,47.32,47.3
20.0,25.0,50.0,67.08,76.12,76.12,43.82,47.86,47.84
21.0,25.0,50.0,69.04,77.76,77.76,42.92,47.88,47.86
22.0,25.0,50.0,71.56,66.8,68.48,44.7,47.6,47.56
23.0,25.0,50.0,66.36,74.2,74.2,44.72,47.56,47.56
24.0,25.0,50.0,62.96,70.76,70.76,44.24,47.76,47.74
25.0,25.0,50.0,68.04,68.6,68.76,45.98,47.8,47.78
26.0,25.0,50.0,60.32,65.08,65.08,41.98,46.72,46.72
27.0,25.0,50.0,65.2,69.0,70.76,43.68,47.4,47.36
28.0,25.0,50.0,64.24,69.6,69.6,44.22,47.88,47.86
29.0,25.0,50.0,67.44,74.44,76.12,42.28,47.8,47.76
30.0,25.0,50.0,67.96,74.48,74.48,44.42,47.84,47.82
31.0,25.0,50.0,64.56,71.4,71.4,43.66,47.8,47.7
32.0,25.0,50.0,65.68,68.16,68.2,44.16,46.86,46.82
33.0,25.0,50.0,66.88,74.96,76.52,43.22,47.44,47.4
34.0,25.0,50.0,75.76,72.52,74.32,44.86,47.78,47.74
35.0,25.0,50.0,65.6,64.36,64.36,44.12,47.2,47.16
36.0,25.0,50.0,67.92,66.72,66.72,44.74,47.1,47.1
37.0,25.0,50.0,70.28,66.68,68.2,44.8,47.36,47.3
38.0,25.0,50.0,68.64,70.6,70.6,44.46,46.88,46.86
39.0,25.0,50.0,66.2,73.68,75.56,42.86,47.6,47.56
40.0,25.0,50.0,71.24,75.8,75.8,44.56,47.54,47.5
41.0,25.0,50.0,69.68,70.4,72.12,45.06,47.68,47.66
42.0,25.0,50.0,67.08,77.96,77.96,43.0,48.02,48.0
43.0,25.0,50.0,72.48,73.76,73.76,45.12,47.74,47.72
44.0,25.0,50.0,66.72,72.8,72.84,44.86,47.78,47.66
45.0,25.0,50.0,68.84,70.68,70.68,44.22,47.08,47.0
46.0,25.0,50.0,70.92,71.52,71.52,44.94,48.1,48.1
47.0,25.0,50.0,68.88,76.4,76.4,44.7,47.96,47.96
48.0,25.0,50.0,72.28,71.0,71.0,44.16,47.1,47.1
49.0,25.0,50.0,65.48,72.28,73.96,43.9,47.36,47.26
50.0,25.0,50.0,66.8,64.64,64.64,44.42,47.16,47.16
51.0,25.0,50.0,73.0,74.08,74.08,44.54,47.64,47.64
52.0,25.0,50.0,63.44,74.12,74.12,43.6,48.0,48.0
53.0,25.0,50.0,71.32,70.76,70.76,44.36,47.24,47.24
54.0,25.0,50.0,71.36,71.36,71.4,45.56,47.92,47.9
55.0,25.0,50.0,65.08,69.4,69.44,42.84,47.42,47.38
56.0,25.0,50.0,68.96,78.08,78.08,44.0,47.94,47.9
57.0,25.0,50.0,69.12,69.88,69.88,44.06,46.94,46.92
58.0,25.0,50.0,63.64,73.68,73.68,43.92,47.56,47.54
59.0,25.0,50.0,63.48,74.76,74.76,43.54,48.0,47.98
60.0,25.0,50.0,64.48,70.96,71.08,43.52,47.06,47.02
61.0,25.0,50.0,68.36,74.2,74.2,44.06,48.0,48.0
62.0,25.0,50.0,64.0,72.24,73.6,43.34,47.7,47.66
63.0,25.0,50.0,62.52,76.0,76.0,44.34,47.98,47.94
64.0,25.0,50.0,72.08,75.68,77.24,44.34,47.4,47.34
65.0,25.0,50.0,68.08,69.32,69.4,44.02,47.66,47.6
66.0,25.0,50.0,67.8,72.88,72.88,45.18,47.88,47.86
67.0,25.0,50.0,70.92,71.48,71.52,44.02,47.44,47.42
68.0,25.0,50.0,69.4,75.44,75.4,44.72,47.74,47.68
69.0,25.0,50.0,64.48,75.32,75.28,43.74,47.36,47.34
70.0,25.0,50.0,64.72,69.04,69.04,43.14,47.44,47.44
71.0,25.0,50.0,69.36,69.12,69.36,44.16,46.94,46.88
72.0,25.0,50.0,64.72,77.32,77.32,42.96,47.48,47.48
