Generation,Round,Node,simple_AoD,greedy_AoD,heuristic_AoD,simple_rank,greedy_rank,heuristic_rank
1.0,25.0,10.0,91.0,93.0,93.0,9.6,9.9,9.8
2.0,25.0,10.0,95.0,100.0,100.0,9.5,10.0,10.0
3.0,25.0,10.0,91.0,100.0,100.0,9.3,10.0,10.0
4.0,25.0,10.0,95.0,100.0,100.0,9.5,10.0,10.0
5.0,25.0,10.0,96.0,100.0,100.0,9.6,10.0,10.0
6.0,25.0,10.0,95.0,100.0,100.0,9.9,10.0,10.0
7.0,25.0,10.0,95.0,100.0,100.0,9.6,10.0,10.0
8.0,25.0,10.0,97.0,100.0,100.0,9.8,10.0,10.0
9.0,25.0,10.0,90.0,100.0,100.0,9.1,10.0,10.0
10.0,25.0,10.0,86.0,93.0,100.0,9.1,10.0,9.7
11.0,25.0,10.0,97.0,100.0,100.0,9.7,10.0,10.0
12.0,25.0,10.0,95.0,100.0,100.0,9.5,10.0,10.0
13.0,25.0,10.0,93.0,100.0,100.0,9.3,10.0,10.0
14.0,25.0,10.0,98.0,100.0,100.0,9.8,10.0,10.0
15.0,25.0,10.0,94.0,94.0,94.0,9.4,9.9,9.8
16.0,25.0,10.0,93.0,100.0,100.0,9.3,10.0,10.0
17.0,25.0,10.0,97.0,100.0,100.0,9.7,10.0,10.0
18.0,25.0,10.0,91.0,100.0,100.0,9.4,10.0,10.0
19.0,25.0,10.0,98.0,100.0,100.0,9.8,10.0,10.0
20.0,25.0,10.0,97.0,100.0,100.0,9.7,10.0,10.0
21.0,25.0,10.0,96.0,100.0,100.0,9.6,10.0,10.0
22.0,25.0,10.0,99.0,100.0,100.0,9.9,10.0,10.0
23.0,25.0,10.0,96.0,100.0,100.0,9.8,10.0,10.0
24.0,25.0,10.0,95.0,100.0,100.0,9.5,10.0,10.0
25.0,25.0,10.0,94.0,99.0,100.0,9.4,10.0,9.9
26.0,25.0,10.0,89.0,92.0,97.0,8.9,9.7,9.4
27.0,25.0,10.0,95.0,91.0,91.0,9.7,9.9,9.9
28.0,25.0,10.0,96.0,100.0,100.0,9.8,10.0,10.0
29.0,25.0,10.0,95.0,100.0,100.0,9.5,10.0,10.0
30.0,25.0,10.0,83.0,100.0,100.0,8.3,10.0,10.0
31.0,25.0,10.0,96.0,100.0,100.0,9.6,10.0,10.0
32.0,25.0,10.0,92.0,100.0,100.0,9.3,10.0,10.0
33.0,25.0,10.0,98.0,100.0,100.0,9.8,10.0,10.0
34.0,25.0,10.0,96.0,100.0,100.0,9.6,10.0,10.0
35.0,25.0,10.0,96.0,100.0,100.0,9.6,10.0,10.0
36.0,25.0,10.0,92.0,100.0,100.0,9.9,10.0,10.0
37.0,25.0,10.0,91.0,100.0,100.0,9.1,10.0,10.0
38.0,25.0,10.0,93.0,100.0,100.0,9.5,10.0,10.0
39.0,25.0,10.0,93.0,100.0,100.0,9.3,10.0,10.0
40.0,25.0,10.0,97.0,100.0,100.0,9.7,10.0,10.0
41.0,25.0,10.0,92.0,100.0,100.0,9.9,10.0,10.0
42.0,25.0,10.0,96.0,100.0,100.0,9.6,10.0,10.0
43.0,25.0,10.0,92.0,92.0,92.0,9.3,9.7,9.7
44.0,25.0,10.0,93.0,92.0,92.0,9.7,9.7,9.7
45.0,25.0,10.0,100.0,100.0,100.0,10.0,10.0,10.0
46.0,25.0,10.0,97.0,100.0,100.0,9.7,10.0,10.0
47.0,25.0,10.0,97.0,100.0,100.0,9.9,10.0,10.0
48.0,25.0,10.0,92.0,100.0,100.0,9.2,10.0,10.0
49.0,25.0,10.0,98.0,100.0,100.0,9.8,10.0,10.0
50.0,25.0,10.0,98.0,100.0,100.0,9.8,10.0,10.0
51.0,25.0,10.0,93.0,95.0,95.0,9.3,9.9,9.8
52.0,25.0,10.0,95.0,100.0,100.0,9.6,10.0,10.0
53.0,25.0,10.0,92.0,100.0,100.0,9.2,10.0,10.0
54.0,25.0,10.0,89.0,100.0,100.0,9.0,10.0,10.0
55.0,25.0,10.0,95.0,100.0,100.0,9.5,10.0,10.0
56.0,25.0,10.0,92.0,98.0,99.0,9.3,9.9,9.8
57.0,25.0,10.0,98.0,100.0,100.0,9.8,10.0,10.0
58.0,25.0,10.0,96.0,100.0,100.0,9.6,10.0,10.0
