[INFO]:2021-02-20 18:40:40	run_generations	generation 3 begin
[INFO]:2021-02-20 18:40:40	run_generations	Transmitting phase
[INFO]:2021-02-20 18:40:40	run_generations	Receiving phase
[INFO]:2021-02-20 18:40:40	run_generations	Transmitting phase
[INFO]:2021-02-20 18:40:40	run_generations	Receiving phase
[INFO]:2021-02-20 18:40:40	run_generations	Transmitting phase
[INFO]:2021-02-20 18:40:40	run_generations	Receiving phase
[INFO]:2021-02-20 18:40:40	run_generations	Transmitting phase
[INFO]:2021-02-20 18:40:40	run_generations	Receiving phase
[INFO]:2021-02-20 18:40:40	run_generations	Transmitting phase
[INFO]:2021-02-20 18:40:40	run_generations	Receiving phase
[INFO]:2021-02-20 18:40:40	run_generations	Transmitting phase
[INFO]:2021-02-20 18:40:40	run_generations	Receiving phase
[INFO]:2021-02-20 18:40:40	run_generations	Transmitting phase
[INFO]:2021-02-20 18:40:40	run_generations	Receiving phase
[INFO]:2021-02-20 18:40:40	run_generations	Transmitting phase
[INFO]:2021-02-20 18:40:40	run_generations	Receiving phase
[INFO]:2021-02-20 18:40:40	run_generations	Transmitting phase
[INFO]:2021-02-20 18:40:40	run_generations	Receiving phase
[INFO]:2021-02-20 18:40:40	run_generations	Transmitting phase
[INFO]:2021-02-20 18:40:40	run_generations	Receiving phase
[INFO]:2021-02-20 18:40:40	run_generations	generation 4 begin
[INFO]:2021-02-20 18:40:40	run_generations	Transmitting phase
[INFO]:2021-02-20 18:40:40	run_generations	Receiving phase
[INFO]:2021-02-20 18:40:40	run_generations	Transmitting phase
[INFO]:2021-02-20 18:40:40	run_generations	Receiving phase
[INFO]:2021-02-20 18:40:40	run_generations	Transmitting phase
[INFO]:2021-02-20 18:40:40	run_generations	Receiving phase
[INFO]:2021-02-20 18:40:41	run_generations	Transmitting phase
[INFO]:2021-02-20 18:40:41	run_generations	Receiving phase
[INFO]:2021-02-20 18:40:41	run_generations	Transmitting phase
[INFO]:2021-02-20 18:40:41	run_generations	Receiving phase
[INFO]:2021-02-20 18:40:41	run_generations	Transmitting phase
[INFO]:2021-02-20 18:40:41	run_generations	Receiving phase
[INFO]:2021-02-20 18:40:41	run_generations	Transmitting phase
[INFO]:2021-02-20 18:40:41	run_generations	Receiving phase
[INFO]:2021-02-20 18:40:41	run_generations	Transmitting phase
[INFO]:2021-02-20 18:40:41	run_generations	Receiving phase
[INFO]:2021-02-20 18:40:41	run_generations	Transmitting phase
[INFO]:2021-02-20 18:40:41	run_generations	Receiving phase
[INFO]:2021-02-20 18:40:41	run_generations	Transmitting phase
[INFO]:2021-02-20 18:40:41	run_generations	Receiving phase
[INFO]:2021-02-20 18:40:41	run_generations	run completed
