Generation,Round,Node,Algorithm,added_s_overhead,added_g_overhead,added_h_overhead
1,4,4,Greedy,32,144,180
1,4,4,Heuristic,32,144,180
1,8,8,Greedy,88,392,464
1,8,8,Heuristic,88,392,464
1,9,0,Greedy,128,440,521
1,9,0,Heuristic,128,440,521
1,9,5,Greedy,160,384,465
1,9,5,Heuristic,160,384,465
1,10,1,Simple,184,552,642
1,10,1,Greedy,184,552,642
1,10,1,Heuristic,184,552,642
1,10,9,Greedy,152,336,426
1,10,9,Heuristic,152,336,426
1,11,6,Greedy,152,488,587
1,11,6,Heuristic,152,488,587
1,14,4,Simple,344,944,803
1,14,5,Simple,344,784,554
1,15,0,Simple,328,920,610
1,15,7,Greedy,320,752,887
1,15,7,Heuristic,320,752,887
1,16,7,Simple,352,832,976
1,16,8,Simple,352,1032,642
1,18,2,Greedy,344,736,403
1,18,2,Heuristic,344,736,403
1,21,6,Simple,488,1288,1210
1,21,9,Simple,504,1216,871
1,27,3,Greedy,424,1344,631
1,29,3,Heuristic,512,1504,631
1,30,2,Simple,832,1696,403
1,30,3,Simple,560,1584,631
2,7,0,Greedy,120,272,335
2,7,0,Heuristic,120,272,335
2,7,8,Greedy,112,256,319
2,7,8,Heuristic,112,256,319
2,8,4,Greedy,144,336,408
2,8,4,Heuristic,144,336,408
2,10,5,Greedy,136,360,450
2,10,5,Heuristic,136,360,450
2,11,1,Greedy,232,600,699
2,11,1,Heuristic,232,600,699
2,11,9,Greedy,128,504,603
2,11,9,Heuristic,128,504,603
2,16,6,Greedy,208,560,704
2,16,6,Heuristic,208,560,704
2,17,7,Greedy,400,944,1097
2,17,7,Heuristic,400,944,1097
2,19,2,Greedy,232,592,536
2,19,2,Heuristic,232,592,536
2,20,3,Greedy,400,904,841
2,20,3,Heuristic,400,904,841
2,21,0,Simple,576,1392,691
2,21,8,Simple,584,1376,675
2,22,4,Simple,624,1456,1120
2,23,1,Simple,680,1560,1233
2,25,5,Simple,720,1560,539
2,26,7,Simple,768,1664,1364
2,26,9,Simple,640,1704,1137
2,30,6,Simple,712,1680,971
2,35,2,Simple,800,1872,536
2,39,3,Simple,1120,2424,841
3,8,0,Greedy,136,304,376
3,8,0,Heuristic,136,304,376
3,8,1,Greedy,120,408,480
3,8,1,Heuristic,120,408,480
3,9,8,Greedy,152,392,473
3,9,8,Heuristic,152,392,473
3,10,9,Greedy,168,464,554
3,10,9,Heuristic,168,464,554
3,11,1,Simple,232,648,747
3,12,4,Greedy,224,560,668
3,12,4,Heuristic,224,560,668
3,12,7,Greedy,184,472,580
3,12,9,Simple,216,624,732
3,13,5,Greedy,328,736,610
3,13,5,Heuristic,328,736,610
3,13,8,Simple,272,712,829
3,14,7,Heuristic,192,632,742
3,15,7,Simple,240,712,831
3,20,3,Greedy,232,856,590
3,20,4,Simple,584,1200,1380
3,20,5,Simple,584,1296,610
3,21,3,Heuristic,240,936,590
3,21,6,Greedy,288,864,1053
3,21,6,Heuristic,288,864,1053
3,22,2,Greedy,240,840,957
3,22,2,Heuristic,240,840,957
3,23,0,Simple,664,1504,732
3,25,3,Simple,376,1256,590
3,29,6,Simple,504,1504,1142
3,34,2,Simple,584,1800,957
4,6,1,Greedy,88,264,318
4,6,1,Heuristic,88,264,318
4,8,5,Greedy,56,344,416
4,8,5,Heuristic,56,344,416
4,8,7,Greedy,120,368,440
4,8,7,Heuristic,120,368,440
4,8,9,Greedy,112,360,432
4,8,9,Heuristic,112,360,432
4,9,8,Greedy,88,384,465
4,9,8,Heuristic,88,384,465
4,10,0,Greedy,120,448,538
4,10,0,Heuristic,120,448,538
4,11,0,Simple,168,528,627
4,12,1,Simple,312,744,852
4,12,4,Greedy,272,632,740
4,12,4,Heuristic,272,632,740
4,12,8,Simple,224,624,732
4,14,4,Simple,312,792,918
4,17,3,Greedy,280,640,224
4,17,3,Heuristic,280,640,224
4,19,6,Greedy,280,968,1139
4,19,6,Heuristic,280,968,1139
4,19,9,Simple,456,1240,432
4,20,5,Simple,464,1304,505
4,21,2,Greedy,336,1000,1027
4,21,2,Heuristic,336,1000,1027
4,23,7,Simple,568,1568,1241
4,27,3,Simple,656,1440,224
4,27,6,Simple,552,1608,1317
4,32,2,Simple,664,1880,1027
5,9,7,Greedy,104,320,401
5,9,7,Heuristic,104,320,401
5,9,9,Greedy,160,400,481
5,9,9,Heuristic,160,400,481
5,10,1,Greedy,240,480,570
5,10,1,Heuristic,240,480,570
5,10,5,Greedy,144,424,514
5,10,5,Heuristic,144,424,514
5,12,5,Simple,208,584,692
5,14,1,Simple,408,800,926
5,14,9,Simple,312,800,570
5,15,0,Greedy,424,816,951
5,15,0,Heuristic,424,816,951
5,15,8,Greedy,320,848,983
5,15,8,Heuristic,320,848,983
5,16,4,Greedy,424,912,1056
5,16,4,Heuristic,424,912,1056
5,16,7,Simple,288,880,1024
5,17,6,Greedy,288,672,825
5,17,6,Heuristic,288,672,825
5,19,3,Greedy,352,816,297
5,19,3,Heuristic,352,816,297
5,20,8,Simple,456,1248,1072
5,21,2,Greedy,336,824,713
5,21,2,Heuristic,336,824,713
5,22,0,Simple,608,1376,1040
5,24,4,Simple,672,1552,1145
5,25,3,Simple,624,1296,297
5,34,6,Simple,872,2032,1181
5,35,2,Simple,808,1944,713
6,7,1,Greedy,144,352,415
6,7,1,Heuristic,144,352,415
6,8,5,Greedy,160,360,432
6,8,5,Heuristic,160,360,432
6,9,8,Greedy,200,456,537
6,9,8,Heuristic,200,456,537
6,9,9,Greedy,144,344,425
6,9,9,Heuristic,144,344,425
6,10,1,Simple,280,592,682
6,10,7,Greedy,192,496,586
6,10,7,Heuristic,192,496,586
6,11,4,Greedy,224,584,683
6,11,4,Heuristic,224,584,683
6,11,8,Simple,280,616,715
6,12,6,Greedy,192,512,620
6,13,3,Greedy,248,560,450
6,13,4,Simple,312,744,861
6,13,6,Heuristic,208,592,701
6,14,3,Heuristic,288,640,450
6,15,0,Greedy,320,832,643
6,15,0,Heuristic,320,832,643
6,15,2,Greedy,160,600,581
6,15,2,Heuristic,160,600,581
6,15,7,Simple,360,896,942
6,16,5,Simple,376,1000,521
6,16,9,Simple,352,904,514
6,17,3,Simple,408,880,450
6,18,6,Simple,376,992,879
6,22,0,Simple,616,1392,643
6,26,2,Simple,448,1480,581
7,11,4,Greedy,184,456,555
7,11,4,Heuristic,184,456,555
7,14,0,Simple,272,728,854
7,14,0,Greedy,272,728,854
7,14,0,Heuristic,272,728,854
7,14,1,Simple,280,824,950
7,14,1,Greedy,280,824,950
7,14,1,Heuristic,280,824,950
7,14,4,Simple,296,696,822
7,14,8,Simple,288,792,918
7,14,8,Greedy,288,792,918
7,14,8,Heuristic,288,792,918
7,16,5,Greedy,264,872,1016
7,16,5,Heuristic,264,872,1016
7,16,9,Greedy,288,896,1040
7,16,9,Heuristic,288,896,1040
7,17,7,Greedy,368,984,1137
7,17,7,Heuristic,368,984,1137
7,18,6,Greedy,288,680,842
7,18,6,Heuristic,288,680,842
7,19,3,Greedy,328,944,953
7,19,3,Heuristic,328,944,953
7,19,9,Simple,384,1136,1129
7,20,2,Greedy,312,736,762
7,20,5,Simple,360,1192,1016
7,21,2,Heuristic,352,816,762
7,21,6,Simple,392,920,1109
7,22,7,Simple,512,1384,1315
7,27,2,Simple,592,1296,762
7,34,3,Simple,864,2144,953
8,5,1,Greedy,104,208,253
8,5,1,Heuristic,104,208,253
8,6,5,Greedy,144,224,278
8,6,5,Heuristic,144,224,278
8,7,4,Greedy,104,312,375
8,7,4,Heuristic,104,312,375
8,7,8,Greedy,128,296,359
8,7,8,Heuristic,128,296,359
8,8,0,Greedy,88,328,319
8,8,0,Heuristic,88,328,319
8,8,9,Greedy,168,360,432
8,8,9,Heuristic,168,360,432
8,9,4,Simple,184,472,553
8,11,6,Greedy,144,408,491
8,11,6,Heuristic,144,408,491
8,13,6,Simple,200,568,669
8,16,1,Simple,528,1088,1232
8,16,8,Simple,488,1016,448
8,17,2,Greedy,248,688,403
8,17,2,Heuristic,248,688,403
8,17,9,Simple,440,1080,1233
8,18,0,Simple,424,1128,319
8,18,7,Greedy,392,1048,1210
8,20,3,Greedy,344,920,1100
8,22,7,Heuristic,488,1368,1534
8,23,5,Simple,736,1584,456
8,24,7,Simple,560,1528,1712
8,25,2,Simple,560,1328,403
8,25,3,Heuristic,464,1320,1262
8,30,3,Simple,680,1720,1262
9,6,1,Greedy,72,248,302
9,6,1,Heuristic,72,248,302
9,8,0,Greedy,128,328,400
9,8,0,Heuristic,128,328,400
9,8,8,Greedy,88,344,416
9,8,8,Heuristic,88,344,416
9,9,4,Greedy,152,432,513
9,9,4,Heuristic,152,432,513
9,10,7,Greedy,152,440,530
9,10,7,Heuristic,152,440,530
9,11,5,Greedy,144,576,675
9,11,5,Heuristic,144,576,675
9,12,3,Greedy,168,472,426
9,12,3,Heuristic,168,472,426
9,15,6,Greedy,176,624,759
9,15,6,Heuristic,176,624,759
9,15,9,Greedy,176,744,563
9,15,9,Heuristic,176,744,563
9,17,2,Greedy,240,688,687
9,17,2,Heuristic,240,688,687
9,21,1,Simple,632,1448,1103
9,21,7,Simple,496,1320,975
9,21,9,Simple,336,1224,563
9,22,5,Simple,584,1456,1031
9,22,8,Simple,568,1464,683
9,26,0,Simple,832,1768,489
9,26,4,Simple,712,1792,1047
9,29,6,Simple,584,1744,937
9,32,3,Simple,800,2072,426
9,37,2,Simple,784,2288,687
10,7,8,Greedy,80,312,375
10,7,8,Heuristic,80,312,375
10,8,1,Greedy,128,392,464
10,8,1,Heuristic,128,392,464
10,9,5,Greedy,128,384,465
10,9,5,Heuristic,128,384,465
10,10,9,Greedy,128,456,546
10,10,9,Heuristic,128,456,546
10,11,0,Greedy,152,536,635
10,11,0,Heuristic,152,536,635
10,13,4,Greedy,240,736,853
10,13,4,Heuristic,240,736,853
10,13,7,Greedy,88,496,613
10,13,7,Heuristic,88,496,613
10,14,1,Simple,312,872,909
10,16,5,Simple,368,944,554
10,18,0,Simple,304,1096,813
10,18,4,Simple,456,1136,1298
10,18,8,Simple,464,1192,909
10,19,7,Simple,240,976,1147
10,20,9,Simple,456,1256,813
10,21,6,Greedy,400,1112,1301
10,21,6,Heuristic,400,1112,1301
10,24,2,Greedy,400,1224,1197
10,25,3,Greedy,264,1088,509
10,27,3,Heuristic,320,1248,509
10,28,3,Simple,336,1328,509
10,29,2,Heuristic,560,1624,1197
10,30,6,Simple,720,1832,2013
10,33,2,Simple,688,1944,1197
11,6,0,Greedy,72,224,278
11,6,0,Heuristic,72,224,278
11,6,4,Greedy,88,216,270
