Generation,Round,Node,simple_AoD,greedy_AoD,heuristic_AoD,simple_rank,greedy_rank,heuristic_rank
1.0,25.0,20.0,92.0,97.25,100.0,19.05,20.0,19.9
2.0,25.0,20.0,96.25,97.0,97.0,19.5,19.85,19.8
3.0,25.0,20.0,96.5,100.0,100.0,19.4,20.0,20.0
4.0,25.0,20.0,91.75,100.0,100.0,19.1,20.0,20.0
5.0,25.0,20.0,94.75,96.25,96.25,19.45,19.85,19.8
6.0,25.0,20.0,94.5,97.0,97.0,19.65,19.95,19.9
7.0,25.0,20.0,95.5,95.5,95.5,19.65,19.85,19.85
8.0,25.0,20.0,94.5,96.5,100.0,19.2,20.0,19.95
9.0,25.0,20.0,91.5,91.75,91.75,18.7,19.6,19.6
10.0,25.0,20.0,87.0,93.75,93.75,18.85,19.85,19.85
11.0,25.0,20.0,93.0,96.75,96.75,19.05,19.85,19.8
12.0,25.0,20.0,92.75,96.75,96.75,19.5,19.85,19.85
13.0,25.0,20.0,92.75,92.25,95.75,19.25,19.95,19.8
14.0,25.0,20.0,92.75,93.25,93.25,19.2,19.8,19.7
15.0,25.0,20.0,95.75,96.5,96.5,19.35,19.95,19.95
16.0,25.0,20.0,97.0,95.5,100.0,19.6,20.0,19.9
17.0,25.0,20.0,94.75,97.0,100.0,19.2,20.0,19.95
18.0,25.0,20.0,93.5,96.25,96.25,19.45,19.95,19.9
19.0,25.0,20.0,89.25,100.0,96.5,19.4,19.95,20.0
20.0,25.0,20.0,97.5,96.0,100.0,19.65,20.0,19.95
21.0,25.0,20.0,93.25,100.0,100.0,19.3,20.0,20.0
22.0,25.0,20.0,98.25,97.0,100.0,19.75,20.0,19.95
23.0,25.0,20.0,97.5,100.0,100.0,19.55,20.0,20.0
24.0,25.0,20.0,93.75,92.25,100.0,18.85,20.0,19.9
25.0,25.0,20.0,97.75,100.0,100.0,19.55,20.0,20.0
26.0,25.0,20.0,94.25,100.0,100.0,19.4,20.0,20.0
27.0,25.0,20.0,94.75,96.25,96.25,19.55,19.95,19.9
28.0,25.0,20.0,96.0,97.0,97.0,19.6,19.9,19.85
29.0,25.0,20.0,96.5,100.0,100.0,19.8,20.0,20.0
30.0,25.0,20.0,97.75,96.0,96.0,19.65,19.95,19.85
31.0,25.0,20.0,93.25,92.5,92.5,19.2,19.85,19.7
32.0,25.0,20.0,96.0,92.5,96.25,19.65,19.9,19.85
33.0,25.0,20.0,95.75,96.0,100.0,19.7,20.0,19.95
34.0,25.0,20.0,92.0,96.25,96.25,18.65,19.9,19.9
35.0,25.0,20.0,98.25,93.0,93.0,19.7,19.75,19.65
36.0,25.0,20.0,96.0,100.0,100.0,19.75,20.0,20.0
37.0,25.0,20.0,94.75,96.75,100.0,19.8,20.0,19.95
38.0,25.0,20.0,97.0,92.5,92.5,19.6,19.75,19.7
39.0,25.0,20.0,92.5,100.0,100.0,19.15,20.0,20.0
40.0,25.0,20.0,94.0,96.0,96.0,19.15,19.95,19.95
41.0,25.0,20.0,98.75,100.0,100.0,19.75,20.0,20.0
42.0,25.0,20.0,92.75,96.25,96.25,19.15,19.9,19.85
43.0,25.0,20.0,97.75,100.0,100.0,19.6,20.0,20.0
44.0,25.0,20.0,94.75,93.75,93.75,19.55,19.85,19.8
45.0,25.0,20.0,89.5,96.75,96.75,19.05,19.85,19.85
46.0,25.0,20.0,94.25,96.0,96.0,19.55,19.9,19.9
47.0,25.0,20.0,94.25,100.0,100.0,19.25,20.0,20.0
48.0,25.0,20.0,98.75,100.0,100.0,19.75,20.0,20.0
49.0,25.0,20.0,94.75,100.0,100.0,19.4,20.0,20.0
50.0,25.0,20.0,92.75,92.25,96.25,19.4,19.95,19.8
51.0,25.0,20.0,97.75,96.5,100.0,19.55,20.0,19.95
52.0,25.0,20.0,95.5,97.25,97.25,19.55,19.9,19.85
53.0,25.0,20.0,94.5,96.0,96.0,19.2,19.85,19.8
54.0,25.0,20.0,99.25,91.75,91.75,19.85,19.8,19.75
55.0,25.0,20.0,97.75,100.0,100.0,19.6,20.0,20.0
56.0,25.0,20.0,93.0,100.0,100.0,18.95,20.0,20.0
57.0,25.0,20.0,92.25,100.0,100.0,19.75,20.0,20.0
58.0,25.0,20.0,97.25,96.25,96.25,19.45,19.9,19.9
59.0,25.0,20.0,97.75,100.0,100.0,19.85,20.0,20.0
60.0,25.0,20.0,92.25,100.0,100.0,19.4,20.0,20.0
61.0,25.0,20.0,98.5,100.0,100.0,19.7,20.0,20.0
62.0,25.0,20.0,95.75,96.75,100.0,19.2,20.0,19.9
63.0,25.0,20.0,96.0,96.25,96.25,19.65,19.9,19.9
64.0,25.0,20.0,96.75,93.25,96.75,19.8,19.95,19.8
65.0,25.0,20.0,96.75,96.25,96.25,19.65,19.85,19.75
66.0,25.0,20.0,96.75,96.25,96.25,19.9,19.9,19.85
67.0,25.0,20.0,99.0,100.0,100.0,19.8,20.0,20.0
68.0,25.0,20.0,96.0,100.0,100.0,19.25,20.0,20.0
69.0,25.0,20.0,97.75,91.75,91.75,19.6,19.85,19.75
70.0,25.0,20.0,91.75,95.75,95.75,19.45,19.85,19.8
71.0,25.0,20.0,98.5,100.0,100.0,19.85,20.0,20.0
72.0,25.0,20.0,96.75,100.0,100.0,19.75,20.0,20.0
73.0,25.0,20.0,95.0,100.0,100.0,19.6,20.0,20.0
74.0,25.0,20.0,98.25,100.0,100.0,19.8,20.0,20.0
75.0,25.0,20.0,94.5,92.0,92.0,19.6,19.7,19.55
76.0,25.0,20.0,97.25,96.0,100.0,19.8,20.0,19.95
77.0,25.0,20.0,93.5,97.5,97.5,19.15,19.95,19.9
78.0,25.0,20.0,93.75,96.75,96.75,19.65,19.95,19.95
79.0,25.0,20.0,93.25,93.75,93.75,19.6,19.9,19.9
80.0,25.0,20.0,95.0,100.0,100.0,19.65,20.0,20.0
