Generation,Round,Node,simple_AoD,greedy_AoD,heuristic_AoD,simple_rank,greedy_rank,heuristic_rank
88.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
89.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
90.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
91.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
92.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
93.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
94.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
95.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
96.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
97.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
98.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
99.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
100.0,25.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0
