Generation,Round,Node,Algorithm,added_s_overhead,added_g_overhead,added_h_overhead
1,21,0,Greedy,1672,4216,4405
1,21,0,Heuristic,1672,4216,4405
1,21,34,Greedy,1536,4488,4677
1,21,34,Heuristic,1536,4488,4677
1,22,12,Greedy,880,4000,4198
1,22,12,Heuristic,880,4000,4198
1,22,17,Greedy,1248,4096,4294
1,22,17,Heuristic,1248,4096,4294
1,22,20,Greedy,1080,4120,4318
1,22,20,Heuristic,1080,4120,4318
1,22,42,Greedy,1224,4608,4806
1,22,42,Heuristic,1224,4608,4806
1,23,1,Greedy,1336,4640,4847
1,23,1,Heuristic,1336,4640,4847
1,23,29,Greedy,1752,4968,5175
1,23,29,Heuristic,1752,4968,5175
1,23,31,Greedy,1648,4544,4751
1,23,31,Heuristic,1648,4544,4751
1,23,41,Greedy,1368,4664,4871
1,23,41,Heuristic,1368,4664,4871
1,23,44,Greedy,1072,4480,4687
1,23,44,Heuristic,1072,4480,4687
1,24,15,Greedy,1616,5264,5480
1,24,15,Heuristic,1616,5264,5480
1,24,18,Greedy,1840,4824,5040
1,24,18,Heuristic,1840,4824,5040
1,24,30,Greedy,1736,5072,5288
1,24,30,Heuristic,1736,5072,5288
1,24,32,Greedy,1088,4520,4736
1,24,32,Heuristic,1088,4520,4736
1,24,38,Greedy,1688,5168,5384
1,24,38,Heuristic,1688,5168,5384
1,24,40,Greedy,1944,4688,4904
1,24,40,Heuristic,1944,4688,4904
1,25,19,Greedy,1976,5264,5489
1,25,19,Heuristic,1976,5264,5489
1,25,22,Greedy,1384,5184,5409
1,25,22,Heuristic,1384,5184,5409
1,25,23,Greedy,2264,5616,5841
1,25,23,Heuristic,2264,5616,5841
1,25,35,Greedy,1464,5536,5761
1,25,35,Heuristic,1464,5536,5761
1,26,29,Simple,2280,6168,6402
1,26,40,Simple,2336,5488,5722
1,27,3,Greedy,1912,5552,5795
1,27,3,Heuristic,1912,5552,5795
1,27,21,Greedy,1832,5568,5811
1,27,21,Heuristic,1832,5568,5811
1,27,37,Greedy,1592,5088,5331
1,27,37,Heuristic,1592,5088,5331
1,27,39,Greedy,2272,5664,5907
1,27,39,Heuristic,2272,5664,5907
1,27,49,Greedy,2440,6296,6539
1,27,49,Heuristic,2440,6296,6539
1,28,0,Simple,2824,7016,7268
1,28,5,Greedy,2888,6992,7244
1,28,5,Heuristic,2888,6992,7244
1,28,10,Greedy,1928,6432,6684
1,28,10,Heuristic,1928,6432,6684
1,29,7,Greedy,1968,5976,6237
1,29,7,Heuristic,1968,5976,6237
1,29,49,Simple,2832,7096,6948
1,30,11,Greedy,2528,6536,6806
1,30,11,Heuristic,2528,6536,6806
1,31,9,Greedy,3176,7680,7959
1,31,9,Heuristic,3176,7680,7959
1,31,45,Greedy,1824,6160,6423
1,31,45,Heuristic,1824,6160,6423
1,32,17,Simple,2944,8096,8384
1,32,18,Simple,3296,8024,8312
1,32,24,Greedy,3072,7352,4512
1,32,24,Heuristic,3072,7352,4512
1,32,27,Greedy,3152,7432,7720
1,32,27,Heuristic,3152,7432,7720
1,32,30,Simple,3240,8272,5697
1,33,1,Simple,2968,8640,6483
1,33,5,Simple,3824,8992,9289
1,33,23,Simple,3792,8816,8295
1,34,21,Simple,3120,8368,5811
1,34,24,Simple,3528,8152,4512
1,34,34,Simple,3936,9688,9176
1,34,43,Greedy,2752,6936,6079
1,35,12,Simple,2848,9200,9515
1,35,26,Greedy,2856,7584,7883
1,35,26,Heuristic,2856,7584,7883
1,35,32,Simple,2680,8920,9235
1,35,36,Greedy,2256,6424,6707
1,36,33,Greedy,3120,8128,8452
1,36,33,Heuristic,3120,8128,8452
1,36,42,Simple,3856,10208,10532
1,36,44,Simple,2936,9680,10004
1,37,4,Greedy,3032,8072,8405
1,37,4,Heuristic,3032,8072,8405
1,37,9,Simple,4328,10080,10413
1,37,36,Heuristic,2616,7224,7509
1,37,41,Simple,3680,10264,10597
1,38,4,Simple,3256,8472,8814
1,38,7,Simple,3568,9576,9918
1,38,16,Greedy,2456,7344,7686
1,38,16,Heuristic,2456,7344,7686
1,38,20,Simple,3648,10520,10862
1,38,22,Simple,3424,10384,10726
1,38,31,Simple,4320,10544,7205
1,38,37,Simple,3600,9488,9830
1,38,43,Heuristic,3496,8536,6079
1,39,8,Greedy,2960,8016,8367
1,39,8,Heuristic,2960,8016,8367
1,39,13,Greedy,3424,9128,8276
1,39,13,Heuristic,3424,9128,8276
1,39,45,Simple,3144,9360,9695
1,39,46,Greedy,3512,8600,7403
1,39,46,Heuristic,3512,8600,7403
1,40,27,Simple,4840,10632,10583
1,40,33,Simple,3848,9728,9679
1,40,38,Simple,4496,11568,11519
1,40,39,Simple,4552,10864,10406
1,41,6,Simple,3880,8776,3392
1,41,10,Simple,3992,11632,12001
1,41,19,Simple,5176,11664,6307
1,41,35,Simple,4272,11936,7806
1,41,36,Simple,3312,8824,7918
1,42,6,Greedy,4112,9168,3392
1,42,6,Heuristic,4112,9168,3392
1,42,11,Simple,4864,11336,7624
1,42,47,Greedy,3656,8968,4685
1,42,47,Heuristic,3656,8968,4685
1,42,48,Greedy,3440,8832,9122
1,44,3,Simple,4944,12352,11930
1,44,43,Simple,4720,10936,6079
1,44,48,Heuristic,3792,9632,9924
1,45,26,Simple,4632,11584,9519
1,46,13,Simple,4744,11928,8276
1,46,14,Simple,4464,9560,6661
1,46,14,Greedy,4464,9560,6661
1,46,15,Simple,5608,14064,8752
1,46,28,Greedy,3872,10664,10172
1,46,47,Simple,4400,10568,4685
1,47,28,Heuristic,4024,11064,10172
1,48,14,Heuristic,4864,10360,6661
1,49,46,Simple,5488,12600,7403
1,50,48,Simple,5008,12032,11151
1,51,16,Simple,4584,12544,8095
1,52,8,Simple,5448,13216,10412
1,52,28,Simple,5008,13064,10172
1,84,25,Greedy,7456,19184,3647
1,93,25,Heuristic,9136,22784,3647
1,100,25,Simple,10376,25584,3647
1,148,2,Greedy,15152,34008,2476
1,168,2,Simple,19096,42008,2476
1,171,2,Heuristic,19712,43208,2476
2,18,0,Greedy,984,3688,3850
2,18,0,Heuristic,984,3688,3850
2,19,23,Greedy,1224,3456,3627
2,19,23,Heuristic,1224,3456,3627
2,19,29,Greedy,1056,3824,3995
2,19,29,Heuristic,1056,3824,3995
2,19,42,Greedy,872,3480,3651
2,19,42,Heuristic,872,3480,3651
2,20,44,Greedy,1064,3608,3788
2,20,44,Heuristic,1064,3608,3788
2,20,49,Greedy,1328,4152,4332
2,20,49,Heuristic,1328,4152,4332
2,21,9,Greedy,1384,3832,4021
2,21,9,Heuristic,1384,3832,4021
2,21,20,Greedy,1032,3720,3909
2,21,20,Heuristic,1032,3720,3909
2,21,27,Greedy,1336,3952,4141
2,21,27,Heuristic,1336,3952,4141
2,21,31,Greedy,1240,3816,4005
2,21,31,Heuristic,1240,3816,4005
2,21,38,Greedy,944,3888,4077
2,21,38,Heuristic,944,3888,4077
2,21,39,Greedy,1240,4192,4381
2,21,39,Heuristic,1240,4192,4381
2,22,12,Greedy,1296,3912,4110
2,22,12,Heuristic,1296,3912,4110
2,22,19,Greedy,1448,4744,4942
2,22,19,Heuristic,1448,4744,4942
2,22,30,Greedy,1184,4272,4470
2,22,30,Heuristic,1184,4272,4470
2,23,17,Greedy,1248,4608,4815
2,23,17,Heuristic,1248,4608,4815
2,23,22,Greedy,1184,4608,4815
2,23,22,Heuristic,1184,4608,4815
2,23,34,Greedy,1512,4104,4311
2,23,34,Heuristic,1512,4104,4311
2,24,10,Greedy,1368,4768,4984
2,24,10,Heuristic,1368,4768,4984
2,24,15,Greedy,1560,4576,4792
2,24,15,Heuristic,1560,4576,4792
2,25,3,Greedy,1576,4760,4985
2,25,3,Heuristic,1576,4760,4985
2,25,6,Greedy,1552,5088,5313
2,25,6,Heuristic,1552,5088,5313
2,26,1,Greedy,1392,5312,5546
2,26,1,Heuristic,1392,5312,5546
2,26,5,Greedy,2072,5736,5970
2,26,5,Heuristic,2072,5736,5970
2,27,13,Greedy,1528,5056,5299
2,27,13,Heuristic,1528,5056,5299
2,27,24,Greedy,2176,5880,6123
2,27,24,Heuristic,2176,5880,6123
2,28,32,Greedy,2088,6064,6316
2,28,32,Heuristic,2088,6064,6316
2,29,28,Greedy,1776,5656,5917
2,29,28,Heuristic,1776,5656,5917
2,29,33,Greedy,2008,6584,6051
2,29,33,Heuristic,2008,6584,6051
2,29,41,Greedy,1864,5664,5925
2,29,41,Heuristic,1864,5664,5925
2,29,46,Greedy,1920,6056,6293
2,30,35,Greedy,2072,6096,6366
2,30,35,Heuristic,2072,6096,6366
2,30,43,Greedy,2496,6656,5025
2,30,43,Heuristic,2496,6656,5025
2,30,46,Heuristic,2072,6456,6694
2,31,7,Greedy,2192,6000,6279
2,31,7,Heuristic,2192,6000,6279
2,31,18,Greedy,2712,6832,4809
2,31,18,Heuristic,2712,6832,4809
2,31,21,Greedy,2136,6264,6543
2,31,21,Heuristic,2136,6264,6543
2,31,49,Simple,3256,8552,6786
2,32,29,Simple,3336,9024,9312
2,32,36,Greedy,2464,6328,6616
2,32,36,Heuristic,2464,6328,6616
2,32,37,Greedy,2216,6608,6511
2,32,37,Heuristic,2216,6608,6511
2,33,23,Simple,3720,9056,6490
2,34,5,Simple,3424,8936,7197
2,35,4,Greedy,2912,7512,7827
2,35,9,Simple,3808,9432,7702
2,35,24,Simple,3808,9080,9395
2,35,26,Greedy,2848,7528,5886
2,35,45,Greedy,2288,6576,6891
2,35,45,Heuristic,2288,6576,6891
2,36,0,Simple,4200,10888,11212
2,36,4,Heuristic,3072,7912,8228
2,36,17,Simple,3320,9808,10132
2,37,21,Simple,3232,8664,6952
2,37,26,Heuristic,3288,8328,5886
2,37,40,Simple,3256,9016,5531
2,37,40,Greedy,3256,9016,5531
2,37,48,Greedy,2512,7528,7861
2,37,48,Heuristic,2512,7528,7861
2,38,11,Greedy,3672,8928,6238
2,38,11,Heuristic,3672,8928,6238
2,38,16,Greedy,3128,7256,7598
2,38,16,Heuristic,3128,7256,7598
2,38,19,Simple,4416,11144,5351
2,38,30,Simple,4168,10672,8151
2,38,39,Simple,4192,10992,8062
2,38,43,Simple,3936,9856,5025
2,39,13,Simple,3616,9856,8571
2,39,28,Simple,3696,9656,9189
2,40,3,Simple,4024,10760,11120
2,40,40,Heuristic,3824,10216,5531
2,41,7,Simple,3896,10000,10369
2,41,8,Greedy,3288,8872,8062
2,41,8,Heuristic,3288,8872,8062
2,41,27,Simple,4744,11952,11094
2,41,37,Simple,3992,10208,6511
2,42,1,Simple,4144,11712,8000
2,42,15,Simple,4864,11776,10518
2,42,18,Simple,4952,11232,4809
2,43,11,Simple,4672,10928,6238
2,43,14,Greedy,3792,9616,7308
2,43,32,Simple,4896,12064,7952
2,43,33,Simple,4488,12184,6051
2,43,44,Simple,5128,12808,7060
2,44,6,Simple,5320,12688,7767
2,44,12,Simple,5496,12712,9836
2,44,35,Simple,4488,11696,9638
2,45,20,Simple,5680,13320,10044
2,45,34,Simple,5688,12904,7583
2,45,41,Simple,4816,12064,8379
2,45,46,Simple,4944,12456,9557
2,45,48,Simple,3824,10728,9497
2,47,8,Simple,4352,11272,8062
2,47,16,Simple,4960,10856,8825
