Generation,Round,Node,Algorithm,added_s_overhead,added_g_overhead,added_h_overhead
1,13,2,Greedy,576,1440,1557
1,13,2,Heuristic,576,1440,1557
1,13,4,Greedy,440,1288,1405
1,13,4,Heuristic,440,1288,1405
1,13,16,Greedy,616,1480,1597
1,13,16,Heuristic,616,1480,1597
1,14,22,Greedy,480,1544,1670
1,14,22,Heuristic,480,1544,1670
1,14,29,Greedy,640,1696,1822
1,14,29,Heuristic,640,1696,1822
1,15,13,Greedy,384,1664,1799
1,15,13,Heuristic,384,1664,1799
1,15,15,Greedy,536,1672,1807
1,15,15,Heuristic,536,1672,1807
1,16,20,Greedy,656,1960,2104
1,16,20,Heuristic,656,1960,2104
1,16,27,Greedy,600,1736,1880
1,16,27,Heuristic,600,1736,1880
1,17,0,Greedy,880,2360,2513
1,17,0,Heuristic,880,2360,2513
1,17,3,Greedy,728,2120,2273
1,17,3,Heuristic,728,2120,2273
1,17,9,Greedy,592,1976,2129
1,17,9,Heuristic,592,1976,2129
1,17,18,Greedy,704,2232,2385
1,17,18,Heuristic,704,2232,2385
1,18,1,Greedy,672,2176,2338
1,18,1,Heuristic,672,2176,2338
1,18,7,Greedy,928,2288,2450
1,18,7,Heuristic,928,2288,2450
1,18,14,Greedy,680,2160,2322
1,18,14,Heuristic,680,2160,2322
1,18,19,Greedy,568,1928,2090
1,18,19,Heuristic,568,1928,2090
1,19,5,Greedy,824,2288,2459
1,19,5,Heuristic,824,2288,2459
1,19,8,Greedy,800,2344,2515
1,19,8,Heuristic,800,2344,2515
1,19,21,Greedy,680,2312,2483
1,19,21,Heuristic,680,2312,2483
1,19,23,Greedy,512,1960,2131
1,19,23,Heuristic,512,1960,2131
1,20,6,Greedy,976,2888,3068
1,20,6,Heuristic,976,2888,3068
1,20,10,Greedy,648,2416,2596
1,20,10,Heuristic,648,2416,2596
1,21,4,Simple,1224,3208,3397
1,21,7,Simple,1280,3008,2699
1,21,29,Simple,1344,3376,3067
1,22,12,Greedy,920,2904,3102
1,22,12,Heuristic,920,2904,3102
1,22,17,Greedy,1000,2816,2291
1,22,17,Heuristic,1000,2816,2291
1,22,26,Greedy,824,2904,2620
1,22,26,Heuristic,824,2904,2620
1,22,28,Greedy,896,2816,3014
1,22,28,Heuristic,896,2816,3014
1,23,3,Simple,1368,3560,2522
1,23,5,Simple,1216,3248,3206
1,24,25,Greedy,1128,3400,2451
1,24,25,Heuristic,1128,3400,2451
1,24,27,Simple,1336,3656,2627
1,25,13,Simple,1320,4064,4040
1,26,0,Simple,1872,4520,3260
1,26,1,Simple,1464,4096,3832
1,26,17,Simple,1440,3776,2291
1,26,24,Greedy,1312,3720,2998
1,26,24,Heuristic,1312,3720,2998
1,27,12,Simple,1432,4104,4098
1,27,15,Simple,1592,4552,2803
1,28,8,Simple,1728,4504,3262
1,29,18,Simple,1992,5112,3132
1,29,20,Simple,1936,5080,4594
1,29,28,Simple,1600,4496,4010
1,30,9,Simple,1696,5096,3872
1,30,19,Simple,1736,4808,5078
1,31,2,Simple,2552,5760,3300
1,32,11,Simple,1400,3864,1627
