Generation,Round,Node,simple_AoD,greedy_AoD,heuristic_AoD,simple_rank,greedy_rank,heuristic_rank
1.0,25.0,40.0,72.3125,80.4375,80.4375,34.45,38.6,38.6
2.0,25.0,40.0,70.6875,84.1875,85.875,33.8,38.8,38.75
3.0,25.0,40.0,70.0,78.9375,81.0625,33.875,38.75,38.725
4.0,25.0,40.0,68.9375,82.6875,82.6875,34.1,38.975,38.9
5.0,25.0,40.0,77.75,83.375,85.1875,35.4,38.7,38.675
6.0,25.0,40.0,70.1875,77.5,77.5625,33.175,38.7,38.6
7.0,25.0,40.0,72.1875,83.6875,83.75,33.725,38.575,38.575
8.0,25.0,40.0,70.25,81.875,81.875,35.275,38.725,38.7
9.0,25.0,40.0,72.25,77.0625,79.125,34.775,38.425,38.35
10.0,25.0,40.0,71.875,81.4375,81.4375,35.025,38.9,38.9
11.0,25.0,40.0,72.9375,81.625,83.3125,35.3,38.75,38.7
12.0,25.0,40.0,71.75,81.5625,81.5625,35.175,38.75,38.725
13.0,25.0,40.0,71.3125,82.375,84.0,36.05,38.55,38.525
14.0,25.0,40.0,69.75,82.3125,82.3125,34.775,38.65,38.625
15.0,25.0,40.0,70.1875,80.6875,80.6875,34.75,38.375,38.3
16.0,25.0,40.0,70.375,83.1875,83.1875,33.425,38.9,38.775
17.0,25.0,40.0,73.1875,80.625,80.5625,35.7,38.675,38.7
18.0,25.0,40.0,76.0,81.5,83.5,35.2,38.475,38.4
19.0,25.0,40.0,74.1875,81.5625,85.0625,33.425,38.75,38.725
20.0,25.0,40.0,68.0,75.3125,75.3125,33.7,38.475,38.45
21.0,25.0,40.0,71.5,79.25,79.25,33.825,38.6,38.575
22.0,25.0,40.0,69.5,84.375,84.375,33.525,38.525,38.525
23.0,25.0,40.0,67.375,86.5,86.5625,34.6,39.025,39.0
24.0,25.0,40.0,73.25,92.5,92.5,35.15,39.15,39.125
25.0,25.0,40.0,74.0625,77.25,79.5,35.875,38.825,38.75
26.0,25.0,40.0,64.0,76.3125,78.25,33.6,38.65,38.625
27.0,25.0,40.0,74.8125,75.3125,75.25,35.1,38.825,38.825
28.0,25.0,40.0,74.5,84.4375,84.4375,34.675,39.1,39.025
29.0,25.0,40.0,75.5,79.4375,79.4375,35.525,38.45,38.45
30.0,25.0,40.0,68.9375,83.1875,83.1875,35.35,38.675,38.625
31.0,25.0,40.0,70.5625,82.0,82.0,34.9,38.7,38.65
32.0,25.0,40.0,68.0625,75.9375,75.9375,33.475,38.55,38.55
33.0,25.0,40.0,71.0625,81.125,81.3125,33.3,38.5,38.475
34.0,25.0,40.0,71.25,76.75,78.75,34.85,38.7,38.575
35.0,25.0,40.0,72.1875,82.875,82.875,34.225,38.875,38.875
36.0,25.0,40.0,66.375,83.6875,83.6875,34.1,38.7,38.675
37.0,25.0,40.0,74.875,77.9375,78.0,36.0,38.55,38.525
38.0,25.0,40.0,77.6875,86.5625,90.1875,34.825,39.175,39.025
39.0,25.0,40.0,71.8125,78.5625,78.5625,35.75,38.8,38.725
40.0,25.0,40.0,70.0,85.1875,87.1875,35.125,38.925,38.85
41.0,25.0,40.0,75.0,77.5,80.875,35.75,38.825,38.75
42.0,25.0,40.0,68.8125,79.1875,79.1875,33.875,39.05,39.05
43.0,25.0,40.0,80.0,83.125,83.125,35.875,38.9,38.85
44.0,25.0,40.0,72.5625,80.6875,80.6875,35.875,38.225,38.225
