Generation,Round,Node,simple_AoD,greedy_AoD,heuristic_AoD,simple_rank,greedy_rank,heuristic_rank
1.0,25.0,50.0,48.04,59.68,59.68,34.6,44.28,44.28
2.0,25.0,50.0,47.56,52.52,52.52,34.66,44.36,44.36
3.0,25.0,50.0,55.0,59.68,59.68,35.16,44.98,44.98
4.0,25.0,50.0,51.64,55.36,55.36,33.36,43.94,43.92
5.0,25.0,50.0,51.4,58.56,58.56,35.66,44.66,44.64
6.0,25.0,50.0,49.64,58.36,58.36,35.04,44.76,44.76
7.0,25.0,50.0,47.92,52.96,52.96,36.3,44.42,44.42
8.0,25.0,50.0,54.2,57.32,57.32,36.18,45.16,45.14
9.0,25.0,50.0,48.36,56.84,56.84,34.72,44.74,44.74
10.0,25.0,50.0,50.12,57.68,57.68,35.12,45.12,45.12
11.0,25.0,50.0,45.08,58.12,58.0,35.26,44.48,44.4
12.0,25.0,50.0,50.52,53.44,53.44,37.8,44.72,44.7
13.0,25.0,50.0,54.04,55.48,55.48,36.34,44.6,44.6
14.0,25.0,50.0,47.6,53.72,53.72,33.56,43.84,43.84
15.0,25.0,50.0,47.44,53.52,53.52,36.14,44.58,44.58
16.0,25.0,50.0,46.36,55.84,55.84,37.56,44.42,44.42
17.0,25.0,50.0,56.72,62.0,62.0,36.06,44.58,44.58
18.0,25.0,50.0,52.56,56.04,56.04,34.4,43.66,43.64
19.0,25.0,50.0,52.04,60.68,60.68,37.68,44.98,44.96
20.0,25.0,50.0,50.72,55.88,55.88,36.84,44.1,44.1
21.0,25.0,50.0,52.32,57.4,57.4,38.06,44.68,44.68
22.0,25.0,50.0,45.72,53.6,53.6,34.58,44.5,44.44
23.0,25.0,50.0,51.6,61.96,61.96,34.9,44.6,44.6
24.0,25.0,50.0,46.44,62.12,62.12,35.6,45.18,45.18
25.0,25.0,50.0,53.04,48.6,48.6,34.74,43.94,43.94
26.0,25.0,50.0,54.68,57.96,57.96,36.8,44.74,44.74
27.0,25.0,50.0,49.84,60.32,60.32,36.48,44.14,44.14
