Generation,Round,Node,Algorithm,added_s_overhead,added_g_overhead,added_h_overhead
1,16,1,Greedy,752,2992,3136
1,16,1,Heuristic,752,2992,3136
1,16,29,Greedy,1024,3056,3200
1,16,29,Heuristic,1024,3056,3200
1,16,33,Greedy,904,3104,3248
1,16,33,Heuristic,904,3104,3248
1,17,4,Greedy,1104,3104,3257
1,17,4,Heuristic,1104,3104,3257
1,17,16,Greedy,1176,3080,3233
1,17,16,Heuristic,1176,3080,3233
1,17,27,Greedy,936,3064,3217
1,17,27,Heuristic,936,3064,3217
1,17,43,Greedy,976,3144,3297
1,17,43,Heuristic,976,3144,3297
1,17,47,Greedy,1008,3496,3649
1,17,47,Heuristic,1008,3496,3649
1,18,2,Greedy,1168,3576,3738
1,18,2,Heuristic,1168,3576,3738
1,18,14,Greedy,1160,3496,3658
1,18,14,Heuristic,1160,3496,3658
1,18,19,Greedy,1040,3536,3698
1,18,19,Heuristic,1040,3536,3698
1,18,20,Greedy,1296,3576,3738
1,18,20,Heuristic,1296,3576,3738
1,18,36,Greedy,1192,3104,3266
1,18,36,Heuristic,1192,3104,3266
1,18,49,Greedy,1296,3576,3738
1,18,49,Heuristic,1296,3576,3738
1,19,12,Greedy,1440,3752,3923
1,19,12,Heuristic,1440,3752,3923
1,19,15,Greedy,1160,3824,3995
1,19,15,Heuristic,1160,3824,3995
1,19,17,Greedy,1360,3560,3731
1,19,17,Heuristic,1360,3560,3731
1,20,40,Greedy,1408,4056,4236
1,20,40,Heuristic,1408,4056,4236
1,21,11,Greedy,1656,4328,4517
1,21,11,Heuristic,1656,4328,4517
1,21,17,Simple,1784,4360,4549
1,21,20,Simple,1832,4776,4965
1,21,25,Greedy,1568,4512,4701
1,21,25,Heuristic,1568,4512,4701
1,21,26,Greedy,1384,3856,4045
1,21,26,Heuristic,1384,3856,4045
1,21,41,Greedy,1504,4464,4653
1,21,41,Heuristic,1504,4464,4653
1,22,3,Greedy,1472,4480,4678
1,22,3,Heuristic,1472,4480,4678
1,22,7,Greedy,1752,5200,5398
1,22,7,Heuristic,1752,5200,5398
1,22,11,Simple,1864,4728,4926
1,22,18,Greedy,1496,4056,4254
1,22,18,Heuristic,1496,4056,4254
1,22,29,Simple,1944,5456,5654
1,22,46,Greedy,1800,4776,4974
1,22,46,Heuristic,1800,4776,4974
1,23,0,Greedy,1952,5024,5231
1,23,0,Heuristic,1952,5024,5231
1,23,7,Simple,1936,5600,5807
1,23,16,Simple,2168,5480,5687
1,23,19,Simple,1832,5536,5743
1,23,25,Simple,1920,5312,5519
1,23,28,Greedy,2032,4592,4799
1,23,28,Heuristic,2032,4592,4799
1,23,33,Simple,2064,5904,6111
1,23,35,Simple,1960,5272,5479
1,23,35,Greedy,1960,5272,5479
1,23,35,Heuristic,1960,5272,5479
1,24,4,Simple,2480,5904,6120
1,24,9,Greedy,1976,5032,5248
1,24,9,Heuristic,1976,5032,5248
1,24,12,Simple,2336,5752,5968
1,24,15,Simple,2024,5824,6040
1,24,27,Simple,2216,5864,6080
1,24,44,Greedy,2192,5312,5528
1,24,44,Heuristic,2192,5312,5528
1,24,45,Greedy,2408,5872,6088
1,24,45,Heuristic,2408,5872,6088
1,25,1,Simple,2144,6592,6817
1,25,30,Greedy,1712,4864,5089
1,25,30,Heuristic,1712,4864,5089
1,25,40,Simple,2280,6056,6281
1,25,45,Simple,2592,6272,6497
1,25,47,Simple,2200,6696,6921
1,26,8,Greedy,1880,5488,5722
1,26,8,Heuristic,1880,5488,5722
1,26,9,Simple,2312,5832,6066
1,26,10,Greedy,2024,5256,5490
1,26,10,Heuristic,2024,5256,5490
1,26,21,Greedy,2200,5216,4672
1,26,21,Heuristic,2200,5216,4672
1,26,43,Simple,2416,6744,6978
1,26,44,Simple,2624,6112,6346
1,26,49,Simple,2960,6776,7010
1,27,46,Simple,2688,6776,7019
1,28,41,Simple,2752,7264,7516
1,29,21,Simple,2832,6416,4672
1,30,3,Simple,3056,7680,7950
1,30,22,Greedy,3048,7160,5834
1,30,22,Heuristic,3048,7160,5834
1,30,32,Greedy,2792,6992,4992
1,30,32,Heuristic,2792,6992,4992
1,31,5,Greedy,2856,7072,4736
1,31,8,Simple,2600,7488,7767
1,31,14,Simple,3360,8696,8975
1,31,23,Greedy,2736,6432,6711
1,31,23,Heuristic,2736,6432,6711
1,31,28,Simple,3664,7792,8071
1,31,42,Simple,2952,7392,7623
1,31,42,Greedy,2952,7392,7623
1,31,42,Heuristic,2952,7392,7623
1,32,13,Greedy,2784,7224,7512
1,32,13,Heuristic,2784,7224,7512
1,32,36,Simple,3784,8704,8992
1,33,23,Simple,3160,7232,7529
1,33,38,Simple,3528,7944,8241
1,33,38,Greedy,3528,7944,8241
1,33,38,Heuristic,3528,7944,8241
1,34,0,Simple,4096,9424,8094
1,34,6,Simple,3480,7864,6991
1,34,13,Simple,3192,8024,8330
1,34,18,Simple,3768,8856,9162
1,34,34,Greedy,3704,8432,8337
1,34,34,Heuristic,3704,8432,8337
1,34,39,Greedy,2752,7320,7570
1,35,26,Simple,4112,9456,7726
1,35,32,Simple,3728,8992,4992
1,35,34,Simple,3904,8832,8337
1,35,39,Heuristic,2936,7720,7971
1,36,2,Simple,4488,10776,11100
1,36,10,Simple,4008,9256,7126
1,38,30,Simple,4176,10064,7134
1,39,5,Heuristic,4448,10272,4736
1,40,5,Simple,4664,10672,4736
1,40,39,Simple,3824,9720,10016
1,40,48,Greedy,4000,9640,4810
1,41,6,Greedy,4752,10608,6991
1,42,6,Heuristic,4904,11008,6991
1,43,22,Simple,5624,12360,5834
1,46,48,Heuristic,5088,12040,4810
1,47,24,Greedy,5456,13120,4839
1,51,31,Greedy,4480,10776,5763
1,52,24,Simple,6312,15120,4839
1,52,48,Simple,6336,14440,4810
1,57,24,Heuristic,7296,17120,4839
1,57,31,Simple,5720,13176,5763
1,57,31,Heuristic,5720,13176,5763
1,62,37,Simple,6344,13072,4568
1,63,37,Greedy,6584,13464,4568
1,73,37,Heuristic,8624,17464,4568
2,16,4,Greedy,1024,2976,3120
2,16,4,Heuristic,1024,2976,3120
2,16,35,Greedy,1160,2904,3048
2,16,35,Heuristic,1160,2904,3048
2,16,49,Greedy,1160,3224,3368
2,16,49,Heuristic,1160,3224,3368
2,17,9,Greedy,976,3152,3305
2,17,9,Heuristic,976,3152,3305
2,17,14,Greedy,1144,3272,3425
2,17,14,Heuristic,1144,3272,3425
2,17,16,Greedy,864,3176,3329
2,17,16,Heuristic,864,3176,3329
2,17,19,Greedy,1200,3480,3633
2,17,19,Heuristic,1200,3480,3633
2,17,27,Greedy,1080,3472,3625
