Generation,Round,Node,Algorithm,added_s_overhead,added_g_overhead,added_h_overhead
1,14,26,Greedy,656,2256,2382
1,14,26,Heuristic,656,2256,2382
1,14,32,Greedy,536,2160,2286
1,14,32,Heuristic,536,2160,2286
1,15,17,Greedy,640,2720,2855
1,15,17,Heuristic,640,2720,2855
1,16,2,Greedy,544,2280,2424
1,16,2,Heuristic,544,2280,2424
1,17,5,Greedy,904,2792,2945
1,17,5,Heuristic,904,2792,2945
1,17,9,Greedy,744,2672,2825
1,17,9,Heuristic,744,2672,2825
1,17,10,Greedy,856,2680,2833
1,17,10,Heuristic,856,2680,2833
1,17,18,Greedy,624,2352,2505
1,17,18,Heuristic,624,2352,2505
1,17,39,Greedy,648,2600,2753
1,17,39,Heuristic,648,2600,2753
1,18,14,Greedy,832,2552,2714
1,18,14,Heuristic,832,2552,2714
1,18,19,Greedy,888,2728,2890
1,18,19,Heuristic,888,2728,2890
1,19,8,Greedy,824,2648,2819
1,19,8,Heuristic,824,2648,2819
1,19,30,Greedy,912,3144,3315
1,19,30,Heuristic,912,3144,3315
1,19,31,Greedy,776,2480,2651
1,19,31,Heuristic,776,2480,2651
1,20,11,Greedy,1016,3040,3220
1,20,11,Heuristic,1016,3040,3220
1,20,25,Greedy,984,3360,3540
1,20,25,Heuristic,984,3360,3540
1,20,28,Greedy,888,2912,3092
1,20,28,Heuristic,888,2912,3092
1,20,35,Greedy,888,2584,2764
1,20,35,Heuristic,888,2584,2764
1,20,37,Greedy,952,3544,3724
1,20,37,Heuristic,952,3544,3724
1,21,6,Greedy,1008,3456,3645
1,21,6,Heuristic,1008,3456,3645
1,21,21,Greedy,1032,3808,3997
1,21,21,Heuristic,1032,3808,3997
1,21,24,Greedy,1032,3280,3469
1,21,24,Heuristic,1032,3280,3469
1,22,13,Greedy,992,3576,3774
1,22,13,Heuristic,992,3576,3774
1,23,12,Greedy,1288,3752,3959
1,23,12,Heuristic,1288,3752,3959
1,23,26,Simple,1960,5136,5343
1,23,38,Greedy,1344,3680,3887
1,23,38,Heuristic,1344,3680,3887
1,24,20,Greedy,1504,4232,4448
1,24,20,Heuristic,1504,4232,4448
1,24,22,Greedy,1224,3704,3920
1,24,22,Heuristic,1224,3704,3920
1,24,27,Greedy,1232,3608,3824
1,24,27,Heuristic,1232,3608,3824
1,24,32,Simple,1720,5360,5576
1,25,15,Greedy,1696,4816,5041
1,25,15,Heuristic,1696,4816,5041
1,25,18,Simple,1800,4912,3163
1,25,29,Greedy,1200,3936,3254
1,25,29,Heuristic,1200,3936,3254
1,26,0,Greedy,1680,4784,4376
1,26,1,Greedy,1912,5000,3356
1,26,1,Heuristic,1912,5000,3356
